12:04:49 PM	I1 A2 - X Minus 6 - BPGHS 101 2010	Y=	Function	Math 1	Math 2	Math 3	Social 1	Social 2	Social 3	Hit/No Hit	ALL
294	[nyh101]	Y2	X+(21+20+19+18+17+16+15+14+13+12+11+10+9+8+7+6+5+4+3+2+1)-(21+20+19+18+17+16+15+14+13+12+11+10+9+8+7+6+5+4+3+2+1+6)	A0			MT			HIT	ALL
314	[fbr101]	Y2	5-5+X-3-3	A0			MT			HIT	ALL
316	[csh101]	Y2	(X-6)-987987987+987987987-987987987+987987987	A0			MT	BN		HIT	ALL
319	[ywx101]	Y1	X+6-6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6	A0			MT			HIT	ALL
321	[khy101]	Y3	X-6+1+2+3+16+0-22	A0			MT			HIT	ALL
328	[axy101]	Y3	X-(24*1/4)	ASMD			MT			HIT	ALL
328	[axy101]	Y2	X*2+X-2X-12+6-3+3	A0			MT			HIT	ALL
339	[nas101]	Y3	X+(sqrt(36))	O			U			NO-HIT	ALL
343	[cmk101]	Y2	1+2+3+4+5+6+7+8+9+10+11+12-1-2-3-4-5-6-7-8-9-10-11-12+X-1-1-1-1-1-1+2+2+2-3-3+4+2-6+9-1-1-1-1-1-1-1-1-1+1+4+1-6	A0			MT			HIT	ALL
345	[nar101]	Y3	10000X-99994X	VASM			BN			NO-HIT	ALL
345	[nar101]	Y2	120X-720X	VASM			N			NO-HIT	ALL
346	[lah101]	Y2	X-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6	A0			MT			HIT	ALL
348	[nsq101]	Y1	((X-6)+6)-6	A0			MT			HIT	ALL
349	[gmf101]	Y3	9788*98-5	SNO			BN			NO-HIT	ALL
349	[lwj101]	Y2	X-6	S			N			HIT	ALL
349	[nyh101]	Y3	X+9+8+7+6+5+4+3+2+1-9-8-7-6-5-4-3-2-1-6	A0			MT			HIT	ALL
354	[khy101]	Y3	X-6+1+2+3+16+0-22+0	A0			MT			HIT	ALL
363	[ywx101]	Y1	9999999999	SNO			N			NO-HIT	ALL
488	[wxy101]	Y3	X-12+6	ASMD			N			HIT	ALL
488	[wxy101]	Y2	X-15+9	ASMD			N			HIT	ALL
488	[wxy101]	Y1	X-6	S			N			HIT	ALL
492	[vth101]	Y3	(2000000X-199999X)-6	VASM			BN			NO-HIT	ALL
493	[vth101]	Y2	1000X-999X-6	VASM			BN			HIT	ALL
496	[txl101]	Y1	8*6*5/4*5-2	SNO			MT			NO-HIT	ALL
499	[lah101]	Y2	X-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6+6-6	A0			MT			HIT	ALL

